"Study","Study.year","Trial","Source","Day","Accommodation","Life.stage","Parasite","Parasite.kind","Pesticide","Pesticide.family","Treatment","Experimental.proportion","Control.proportion","Experimental.sample.size","Control.sample.size","Experimental.died","Experimental.survived","Control.died","Control.survived","lRR","vv"
"Aufauvre et al 2012",2012,"Au1","Fig 1 a",22,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.319796954,0.246192893,150,150,47.9695431,102.0304569,36.92893395,113.07106605,0.261570929092834,0.0345922653785386
"Aufauvre et al 2012",2012,"Au2","Fig 1 b",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.299528302,0.240566038,150,150,44.9292453,105.0707547,36.0849057,113.9150943,0.219214272454234,0.0366363027762478
"Aufauvre et al 2012",2012,"Au3","Fig 1 c",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.351941748,0.283980583,150,150,52.7912622,97.2087378,42.59708745,107.40291255,0.214559807161398,0.0290849788157631
"Aufauvre et al 2012",2012,"Au4","Fig 1 d",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.311881188,0.247524752,150,150,46.7821782,103.2178218,37.1287128,112.8712872,0.231111722502434,0.0349756614355165
"Aufauvre et al 2014",2014,"Auf1","SI_2_B",7,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.262023217,0.185737977,140,140,36.68325038,103.31674962,26.00331678,113.99668322,0.344096159619191,0.0514313161780921
"Aufauvre et al 2014",2014,"Auf2","Fig 1",25,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.37929079,0.198526379,165,165,62.58298035,102.41701965,32.756852535,132.243147465,0.647381183843151,0.034385536619634
"Aufauvre et al 2014",2014,"Auf3","SI_2_B",12,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.472941176,0.190588235,140,140,66.21176464,73.78823536,26.6823529,113.3176471,0.908855753934822,0.0382952960796031
"Coulon et al 2018",2018,"Co1","Fig 4",10,"Enclosures","Adults","CBPV","Virus","Thiamethoxam","Neonicotinoid","pesticide",0.079365079,0.044444444,270,270,21.42857133,248.57142867,11.99999988,258.00000012,0.579818500652942,0.122592593640593
"Coulon et al 2018",2018,"Co2","Fig 4",10,"Enclosures","Adults","CBPV","Virus","Thiamethoxam","Neonicotinoid","pesticide",0.549206349,0.044444444,270,270,148.28571423,121.71428577,11.99999988,258.00000012,2.5142342745068,0.0826696647194038
"Diao et al 2018",2018,"Di1","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","pesticide",0.520215633,0.032345013,90,90,46.81940697,43.18059303,2.91105117,87.08894883,2.77778355305341,0.342654965744415
"Diao et al 2018",2018,"Di2","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","pesticide",0.579514825,0.032345013,90,90,52.15633425,37.84366575,2.91105117,87.08894883,2.8857313934385,0.340469427971493
"Diao et al 2018",2018,"Di3","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","pesticide",0.649595687,0.032345013,90,90,58.46361183,31.53638817,2.91105117,87.08894883,2.99989029794228,0.338400957895668
"Doublet et al 2015",2015,"Do1","Fig 6 a",25,"Enclosures","Adults","BQCV","Virus","Thiacloprid","Neonicotinoid","pesticide",0.450413223,0.512396694,120,120,54.04958676,65.95041324,61.48760328,58.51239672,-0.128933683268465,0.0180983032581274
"Doublet et al 2015",2015,"Do2","Fig 6 b",25,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.451143451,0.513513514,120,120,54.13721412,65.86278588,61.62162168,58.37837832,-0.129490984352858,0.018032985680531
"Doublet et al 2015",2015,"Do3","Fig 6 d",25,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.638344227,0.511982571,120,120,76.60130724,43.39869276,61.43790852,58.56209148,0.220587095152888,0.0126645365717832
"Doublet et al 2015",2015,"Do4","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","pesticide",0.166666667,0.102739726,48,48,8.000000016,39.999999984,4.931506848,43.068493152,0.483796953644738,0.286111110915185
"Doublet et al 2015",2015,"Do5","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","pesticide",0.166666667,0.102739726,48,48,8.000000016,39.999999984,4.931506848,43.068493152,0.483796953644738,0.286111110915185
"Doublet et al 2015",2015,"Do6","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","pesticide",0.166666667,0.102739726,48,48,8.000000016,39.999999984,4.931506848,43.068493152,0.483796953644738,0.286111110915185
"Fine et al 2017",2017,"Fi1","Fig 3",20,"Enclosures","Immatures","Exogenous viruses","Virus","Oss","Non-neonicotinoid","pesticide",0.288793103,0.245689655,216,216,62.379310248,153.620689752,53.06896548,162.93103452,0.161641350705931,0.0256151019166289
"Garrido et al 2016",2016,"Ge1","Fig 1",12,"Enclosures","Adults","Nosema ceranae","Nosema","Tau-fluvalinate","Non-neonicotinoid","pesticide",0.173913043,0.239130435,200,200,34.7826086,165.2173914,47.826087,152.173913,-0.318453734777626,0.0396590909691451
"Garrido et al 2016",2016,"Ge2","Fig 1",12,"Enclosures","Adults","Nosema ceranae","Nosema","Coumaphos","Non-neonicotinoid","pesticide",0.18115942,0.239130435,200,200,36.231884,163.768116,47.826087,152.173913,-0.27763173910737,0.0385090909342426
"Grassl et al 2018",2018,"Gra1","Fig 2",18,"Hive","Adults","Nosema apis","Nosema","Thiamethoxam","Neonicotinoid","pesticide",0.522362869,0.641561181,400,400,208.9451476,191.0548524,256.6244724,143.3755276,-0.205542053575114,0.00368268956909799
"Gregorc et al 2016",2016,"Gre1","Fig 2",33,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","pesticide",0.933070866,0.996062992,75,75,69.98031495,5.01968505000001,74.7047244,0.295275599999997,-0.0653293476178056,0.00100910036354192
"Gregorc et al 2016",2016,"Gre2","Fig 2",33,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","pesticide",0.937007874,0.996062992,75,75,70.27559055,4.72440945,74.7047244,0.295275599999997,-0.0611188149463701,0.000949059467615752
"Gregorc et al 2016",2016,"Gre3","Fig 3",8,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","pesticide",0.932461874,0.39869281,75,75,69.93464055,5.06535945,29.90196075,45.09803925,0.849637044275767,0.0210750217375446
